source,project,l,b,v,dv,1612,+,-,1665,+,-,1667,+,-,1720,+,-
4C+11.15,a2769,171.98,-35.48,7.18,0.65,3.65,0.98,-0.56,4.38,0.4,-0.37,4.42,0.29,-0.26,5.46,0.4,-0.59
4C+36.10,a2769,172.98,2.44,-16.74,2.89,5.4,0.92,-0.72,8.62,0.51,-0.47,9.28,0.38,-0.35,23.13,13.61,-5.9
4C+27.14,a3301,175.46,-9.96,7.19,1.62,75.92,52.7,-292,18.63,2.24,-1.74,14.69,0.8,-1.04,9.47,1.9,-0.64
4C+27.14,a3301,175.46,-9.96,7.89,0.84,0.1,0.04,-0.02,6.6,4.33,-13.36,1.86,0.65,-0.37,-0.12,0.02,-0.04
4C+17.23,a2769,176.36,-24.24,9.35,0.72,3.1,0.58,-0.46,4.86,0.39,-0.37,4.41,0.26,-0.27,8.58,2,-1.3
4C+17.23,a2769,176.36,-24.24,11.42,0.77,2.4,0.34,-0.26,4.34,0.34,-0.28,4.24,0.19,-0.21,16.53,8.07,-4.52
4C+07.13,a2769,178.87,-36.27,3.48,1.07,3.25,3,-1.23,3.75,0.83,-0.79,4.85,0.91,-0.8,5.91,3.93,-1.56
B0531+2730,a2769,179.87,-2.83,3.04,0.72,1.53,0.54,-0.47,-6.25,396,-3.84,2.75,0.56,-0.66,-2.41,0.02,-0.63
B0531+2730,a2769,179.87,-2.83,3.17,0.78,4.08,1.87,-36.41,1.44,0.57,-0.42,9.8,491,-3.82,1.84,0.1,-0.39
4C+26.18b,a2769,182.36,-0.62,-11.93,1.57,-2.38,0.54,-0.56,4.69,0.65,-0.82,4.55,0.46,-0.64,1.23,0.01,-0.1
4C+26.18b,a2769,182.36,-0.62,-9.99,2.66,14.7,7.8,-151,15.18,6.19,-3.62,10.16,1.2,-1.06,10.48,7.93,-3.21
4C+22.12,a2769,188.07,0.04,-1.62,0.66,15.72,11,-32.7,2.36,0.65,-0.68,2.03,0.5,-0.6,1.21,0.11,-0.26
4C+14.14,a2769,189.04,-12.85,2.6,3.82,7.86,7.47,-2.47,6.2,0.71,-0.55,5.75,0.3,-0.35,4.86,0.8,-0.68
4C+19.18,a2769,190.09,-2.17,-0.62,2.18,-2.37,0.48,-0.72,11.44,3.61,-2.3,6.87,0.76,-0.67,1.61,0.16,-0.16
4C+19.18,a2769,190.09,-2.17,2.39,1.47,4.41,1.41,-0.87,7.13,0.82,-0.71,5.93,0.33,-0.33,11.52,5.33,-2.86
4C+19.19,a2769,190.13,-1.64,1.12,1.42,-1.25,0.55,-1.01,4.05,1.04,-1.12,3.57,0.83,-1,0.79,0.1,-0.22
4C+19.19,a2769,190.13,-1.64,2.7,3.15,2.25,0.27,-0.21,7.88,0.76,-0.57,7.71,0.45,-0.39,-5.94,0.84,-1.11
PKS0528+134,a2600,191.37,-11.01,9.6,0.9,4.25,0.48,-0.38,4.47,0.19,-0.17,4.44,0.16,-0.16,4.67,0.11,-0.13
4C+16.15b,a2769,193.64,-1.53,11.88,0.87,4.4,1.07,-0.69,5.25,0.35,-0.33,5.26,0.27,-0.26,6.42,0.84,-0.77
3C158,a2769,196.64,0.17,3.14,0.98,8.07,5.06,-23.59,3.08,1.75,-1.36,4.93,2.56,-2.11,2.53,0.03,-0.85
4C+14.18,a2600,196.98,1.1,4.28,0.55,3.04,1.57,-24.37,0.8,0.4,-0.3,0.62,0.29,-0.26,0.4,0.12,-0.16
4C+14.18,a2600,196.98,1.1,4.94,1.84,3.3,0.24,-0.24,4.99,0.15,-0.16,6.54,0.2,-0.2,17.12,4.04,-2.33
4C+14.18,a2600,196.98,1.1,7.39,0.81,1.53,0.26,-0.22,3.2,0.31,-0.31,4.62,0.39,-0.39,-10.11,3.42,-8.92
4C+14.18,a2600,196.98,1.1,16.49,1.29,-11.67,536,-5.72,5.77,0.46,-0.47,4.88,0.39,-0.37,2.24,0.29,-0.23
4C+14.18,a2600,196.98,1.1,17.59,0.7,2.97,1.69,-0.84,3.71,0.62,-0.59,3.05,0.5,-0.46,3.8,0.28,-0.42
4C+14.18,a2600,196.98,1.1,18.4,3.76,1.46,0.2,-0.16,8.49,1.14,-0.92,9.09,0.76,-0.74,-2.38,0.29,-0.36
4C+14.18,a2600,196.98,1.1,31.98,0.42,3.57,0.93,-0.84,3.65,1.06,-0.26,3.83,1.16,-0.28,3.91,0.75,-1.31
4C+14.18,a2600,196.98,1.1,32.33,1.19,3.52,1.55,-0.84,3.79,0.58,-0.77,3.69,0.48,-0.56,3.97,0.4,-0.26
4C+13.32,a2769,197.15,-0.85,-5.65,0.78,1.21,0.33,-0.32,2.31,0.61,-0.62,2.29,0.63,-0.56,15.25,4.03,-2.45
4C+13.32,a2769,197.15,-0.85,-0.35,1.02,2.54,24.45,-1.31,0.23,0.31,-0.1,0.11,0.2,-0.06,0.08,0.13,-0.04
4C+13.32,a2769,197.15,-0.85,4.46,1.2,-6.94,3.64,-15.72,4.42,2.35,-1.98,3.24,1.79,-1.49,1.53,0.08,-0.52
4C+13.32,a2769,197.15,-0.85,6.99,2.21,2.35,0.93,-0.92,18.97,12.75,-8.94,14.59,6.17,-4.89,-3.56,1.37,-1.23
4C+13.32,a2769,197.15,-0.85,9.5,1.15,6.45,5.22,-2.61,5.56,2.37,-2.23,5.68,2.08,-2.22,5.02,0.98,-1.96
4C+17.41,a2769,201.13,16.42,0.23,1.38,2.48,1.17,-0.64,4.68,0.97,-0.75,4.14,0.44,-0.42,15.81,509,-7.87
4C+17.41,a2769,201.13,16.42,1.89,0.73,1.86,0.31,-0.24,3.86,0.32,-0.31,3.98,0.2,-0.2,-120.31,99,-150
4C+04.22,a2769,205.41,-4.43,11.92,0.71,2.37,0.58,-0.45,5.43,0.81,-0.63,4.45,0.4,-0.39,2751.44,2773,-2725
4C+04.22,a2769,205.41,-4.43,13.33,0.92,1.43,0.26,-0.19,4.27,0.49,-0.5,3.65,0.31,-0.35,-6.2,1.29,-3.23
J134217-040725,a3301,205.58,-4.14,9.19,1.2,2.55,0.35,-0.28,4.36,0.3,-0.3,4.58,0.27,-0.26,15.01,4.68,-3.13
4C+04.24,a2769,205.92,-3.57,9.39,1.25,2.72,0.48,-0.38,4.31,0.35,-0.31,4.1,0.23,-0.23,8.59,2.22,-1.38
